feature,coefficient,odds_ratio,direction
categorical__state_Odisha,1.0118551062058831,2.750699123803317,increases estimated delay odds
numeric__physical_progress_pct,0.7899845375654987,2.2033623566464153,increases estimated delay odds
categorical__state_Mizoram,0.7667081773623708,2.152668375226817,increases estimated delay odds
categorical__state_Tamil Nadu,0.619996190005714,1.8589209593546168,increases estimated delay odds
categorical__state_Gujarat,0.5592697496084652,1.7493945376904483,increases estimated delay odds
numeric__spend_delta_3m_cr,-0.5424489891356012,0.5813228543396928,reduces estimated delay odds
categorical__sector_Electricity Generation,0.537051777436381,1.7109551424905691,increases estimated delay odds
categorical__state_Uttar Pradesh,0.5196144335269212,1.6813792412406847,increases estimated delay odds
categorical__state_Kerala,-0.5062428649923892,0.6027559654031532,reduces estimated delay odds
categorical__sector_WATER RESOURCES,0.4809421038135597,1.6175976294566397,increases estimated delay odds
categorical__state_Maharashtra,-0.448979275416094,0.6382793266301569,reduces estimated delay odds
categorical__ministry_department_Ministry of Steel,-0.44667091968153383,0.639754404220946,reduces estimated delay odds
categorical__state_Rajasthan,0.4275995855723295,1.533571893698957,increases estimated delay odds
categorical__state_Himachal Pradesh,-0.4176666590062968,0.658581724125692,reduces estimated delay odds
numeric__schedule_pressure,0.40983069275023026,1.5065626915329575,increases estimated delay odds
numeric__spend_delta_6m_cr,-0.3761334124015356,0.6865107378862506,reduces estimated delay odds
categorical__state_Bihar,0.3666246738538344,1.4428562757896224,increases estimated delay odds
categorical__state_Nagaland,-0.3634268785944134,0.695289565907788,reduces estimated delay odds
categorical__state_Andhra Pradesh,-0.3607763605376748,0.6971348879062073,reduces estimated delay odds
"categorical__state_Multi-States (Bihar, Jharkhand)",-0.35182087089390324,0.7034061111997578,reduces estimated delay odds
categorical__state_Telangana,-0.3450358210973869,0.7081949846919184,reduces estimated delay odds
categorical__ministry_department_Ministry of Civil Aviation,0.328931786595004,1.389483070983401,increases estimated delay odds
categorical__ministry_department_Ministry of Road Transport & Highways,0.31734472786274687,1.3734759657589588,increases estimated delay odds
"categorical__state_Multi-States (Delhi, Rajasthan)",0.30485052094379855,1.3564222311366068,increases estimated delay odds
numeric__stagnation_streak_months,-0.3021472131372927,0.7392292326244457,reduces estimated delay odds
"categorical__state_Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",0.2947388154622378,1.3427756006574079,increases estimated delay odds
categorical__sector_Coal,-0.288156693243351,0.7496441188672955,reduces estimated delay odds
categorical__sector_Steel,-0.28171213698127134,0.7544908432873539,reduces estimated delay odds
categorical__state_Tripura,0.27465044033664315,1.3160705492734752,increases estimated delay odds
numeric__missing_core_fields_count,-0.26596105936075265,0.7664689737116996,reduces estimated delay odds
categorical__ministry_department_Ministry of Power,0.2568624970812384,1.2928673415036096,increases estimated delay odds
numeric__target_revision_count_to_date,0.24421257749432976,1.2766156814096596,increases estimated delay odds
categorical__ministry_department_Ministry of Mines,-0.23614316305129052,0.7896676146148238,reduces estimated delay odds
"categorical__state_Multi-States (Assam, Manipur, Meghalaya, Mizoram, Nagaland, Tripura)",0.2343438026744922,1.2640790112539313,increases estimated delay odds
categorical__ministry_department_Ministry of Petroleum & Natural Gas,-0.23084269222284715,0.7938643372476322,reduces estimated delay odds
categorical__sector_Energy Storage,-0.23084269222284715,0.7938643372476322,reduces estimated delay odds
categorical__state_PAN India,-0.2185909551253718,0.8036503799992539,reduces estimated delay odds
categorical__state_Uttarakhand,-0.21713503642125037,0.8048212817811417,reduces estimated delay odds
categorical__sector_POWER,0.2094027019036318,1.2329414064227777,increases estimated delay odds
categorical__state_Arunachal Pradesh,-0.20638212237505082,0.8135221518642886,reduces estimated delay odds
categorical__state_Jammu and Kashmir,0.2062187873478018,1.2290220690609819,increases estimated delay odds
categorical__state_infrequent_sklearn,-0.20500480149411662,0.8146434048965082,reduces estimated delay odds
categorical__ministry_department_Ministry of Railways,-0.20156188309099013,0.8174529894771134,reduces estimated delay odds
numeric__data_quality_score,0.20128545110589405,1.2229738212324373,increases estimated delay odds
categorical__ministry_department_Department of Telecommunications,0.19285517728717097,1.2127071532612748,increases estimated delay odds
categorical__state_Jharkhand,-0.18956079928704184,0.8273224147553336,reduces estimated delay odds
categorical__sector_Urban Public Transport,-0.1846949802519976,0.8313578257370251,reduces estimated delay odds
"categorical__state_Multi-States (Arunachal Pradesh, Assam)",0.18266082431116384,1.2004071900899307,increases estimated delay odds
"categorical__state_Multi-States (Haryana, Rajasthan)",0.1798104430281958,1.196990443731621,increases estimated delay odds
categorical__sector_DEPARTMENT OF HIGHER EDUCATION,-0.17559653949558196,0.838956400836102,reduces estimated delay odds
categorical__sector_ROAD TRANSPORT AND HIGHWAYS,-0.17449358410073382,0.8398822428117895,reduces estimated delay odds
categorical__sector_ROAD TRANSPORT AND,0.17420788414411506,1.1903029852195066,increases estimated delay odds
categorical__state_Karnataka,0.17209288677957757,1.1877881579067822,increases estimated delay odds
categorical__ministry_department_Ministry of Health & Family Welfare,0.17080569447053198,1.1862602297048284,increases estimated delay odds
"categorical__state_Multi-States (Assam, West Bengal)",0.16853327442041988,1.1835676087158584,increases estimated delay odds
"categorical__state_Multi-States (Arunachal Pradesh, Sikkim)",-0.16772737018718403,0.8455843347615408,reduces estimated delay odds
categorical__sector_COAL,0.16373710839942038,1.1779046131564042,increases estimated delay odds
