group_column,group,rows,positives,pr_auc,roc_auc,precision,recall,f1,balanced_accuracy,specificity,accuracy,brier,log_loss,ece,tn,fp,fn,tp,alerts_generated,threshold,false_positive_rate
sector,Coal,216,7,0.13153941582109188,0.8824333561175667,0.14705882352941177,0.7142857142857143,0.24390243902439024,0.7877648667122352,0.861244019138756,0.8564814814814815,0.07101874698318734,0.2084452608071064,0.07464474860559525,180,29,2,5,34,0.22999999999999998,0.13875598086124402
sector,Education,58,6,0.18826058201058202,0.7211538461538461,0.18518518518518517,0.8333333333333334,0.30303030303030304,0.7051282051282051,0.5769230769230769,0.603448275862069,0.15251826093058787,0.43564581090864857,0.17029033488957426,30,22,1,5,27,0.22999999999999998,0.4230769230769231
sector,Electricity Generation,188,62,0.6719019191829315,0.804147465437788,0.6041666666666666,0.46774193548387094,0.5272727272727272,0.65847414234511,0.8492063492063492,0.723404255319149,0.20581865957095358,0.6731473237710831,0.18496054318565563,107,19,33,29,48,0.22999999999999998,0.15079365079365079
sector,Energy Storage,204,72,0.8499478710658716,0.8564814814814815,0.9761904761904762,0.5694444444444444,0.7192982456140351,0.7809343434343434,0.9924242424242424,0.8431372549019608,0.18554150008609993,0.6721442353169603,0.21664790798248407,131,1,31,41,42,0.22999999999999998,0.007575757575757576
sector,Healthcare,54,8,0.40092414529914533,0.8233695652173914,0.29411764705882354,0.625,0.4,0.6820652173913043,0.7391304347826086,0.7222222222222222,0.11303091202306115,0.34094738996292906,0.0677534242775904,34,12,3,5,17,0.22999999999999998,0.2608695652173913
sector,Railways,1083,369,0.612623370097004,0.7763658308851996,0.6428571428571429,0.3170731707317073,0.4246823956442831,0.6130183780829405,0.9089635854341737,0.7072945521698984,0.24345859754179444,0.796881809627759,0.22651944238012628,649,65,252,117,182,0.22999999999999998,0.09103641456582633
sector,Telecommunication,113,15,0.3363689200448355,0.7653061224489796,0.2222222222222222,0.9333333333333333,0.358974358974359,0.7166666666666667,0.5,0.5575221238938053,0.17722859966613058,0.4977808785681935,0.20417227680026578,49,49,1,14,63,0.22999999999999998,0.5
sector,Urban Public Transport,100,43,0.9396081475693282,0.9677682578539372,0.9285714285714286,0.9069767441860465,0.9176470588235294,0.927172582619339,0.9473684210526315,0.93,0.15508053345175216,0.42259944155183926,0.23748608134804844,54,3,4,39,42,0.22999999999999998,0.05263157894736842
state,Andhra Pradesh,84,31,0.7241920142801168,0.7845404747413268,0.7857142857142857,0.3548387096774194,0.4888888888888889,0.6491174680462568,0.9433962264150944,0.7261904761904762,0.2306240549668191,0.8454913040103004,0.25170225016535663,50,3,20,11,14,0.22999999999999998,0.05660377358490566
state,Assam,97,23,0.6021395839054563,0.7596944770857813,0.6153846153846154,0.34782608695652173,0.4444444444444444,0.6401292596944771,0.9324324324324325,0.7938144329896907,0.15878618489864849,0.5879938070787879,0.15046976084586114,69,5,15,8,13,0.22999999999999998,0.06756756756756757
