snapshot_month,status,pdf_path,resolved_url,rows_parsed,pages_total,pages_relevant,error
2025-01,OK,raw_pdfs\2025-01.pdf,LOCAL_CACHE,1719,244,222,
2025-02,OK,raw_pdfs\2025-02.pdf,LOCAL_CACHE,1682,251,228,
2025-03,OK,raw_pdfs\2025-03.pdf,LOCAL_CACHE,1677,244,225,
2025-04,OK,raw_pdfs\2025-04.pdf,LOCAL_CACHE,1670,273,251,
2025-05,OK,raw_pdfs\2025-05.pdf,LOCAL_CACHE,1637,212,189,
2025-06,OK,raw_pdfs\2025-06.pdf,LOCAL_CACHE,1595,234,212,
2025-07,OK,raw_pdfs\2025-07.pdf,LOCAL_CACHE,728,67,32,
2025-08,OK,raw_pdfs\2025-08.pdf,LOCAL_CACHE,800,67,32,
2025-09,OK,raw_pdfs\2025-09.pdf,LOCAL_CACHE,772,72,32,
2025-10,OK,raw_pdfs\2025-10.pdf,LOCAL_CACHE,743,73,33,
2025-11,OK,raw_pdfs\2025-11.pdf,LOCAL_CACHE,808,73,33,
2025-12,OK,raw_pdfs\2025-12.pdf,LOCAL_CACHE,1313,108,60,
2026-01,OK,raw_pdfs\2026-01.pdf,LOCAL_CACHE,1571,134,74,
2026-02,OK,raw_pdfs\2026-02.pdf,LOCAL_CACHE,1868,168,105,
2026-03,OK,raw_pdfs\2026-03.pdf,LOCAL_CACHE,1861,158,104,
2026-04,OK,raw_pdfs\2026-04.pdf,LOCAL_CACHE,1981,163,110,
2026-05,DOWNLOAD_FAILED,,,0,0,0,HTTP 200; content-type=text/html; charset=utf-8
2026-06,DOWNLOAD_FAILED,,,0,0,0,HTTP 200; content-type=text/html; charset=utf-8
2026-07,DOWNLOAD_FAILED,,,0,0,0,HTTP 200; content-type=text/html; charset=utf-8
