canonical_project_id,snapshot_month,data_quality_score,quality_flags,source_url,source_page
L-N04000073,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,42
L-N04000073,2025-02,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,42
L-N04000073,2025-03,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,40
L-N04000073,2025-04,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,43
L-N04000073,2025-05,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,43
L-N04000073,2025-06,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,41
L-N04000074,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,197
L-N04000074,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,202
L-N04000074,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,196
L-N04000074,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,220
L-N04000074,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,171
L-N04000074,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,188
L-N04000075,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,197
L-N04000075,2025-02,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,202
L-N04000075,2025-03,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,197
L-N04000076,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,81
L-N04000076,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,83
L-N04000076,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,80
L-N04000076,2025-04,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,88
L-N04000076,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,76
L-N04000076,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,79
L-N04000077,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,213
L-N04000077,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,219
L-N04000077,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,213
L-N04000077,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,238
L-N04000077,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,184
L-N04000077,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,204
L-N04000079,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,135
L-N04000079,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,141
L-N04000079,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,136
L-N04000079,2025-04,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,150
L-N04000079,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,121
L-N04000079,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,132
L-N04000080,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,233
L-N04000080,2025-02,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,240
L-N04000080,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,234
L-N04000080,2025-04,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,260
L-N04000080,2025-05,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,202
L-N04000080,2025-06,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,223
L-N04000081,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,233
L-N04000081,2025-02,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,240
L-N04000081,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,233
L-N04000081,2025-04,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,260
L-N04000081,2025-05,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,202
L-N04000081,2025-06,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,223
L-N04000085,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,229
L-N04000085,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,236
L-N04000085,2025-03,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,229
L-N04000085,2025-04,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,256
L-N04000085,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,198
L-N04000085,2025-06,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,219
L-N04000086,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,205
L-N04000086,2025-02,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,210
L-N04000086,2025-03,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,204
L-N04000087,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,129
L-N04000087,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,134
L-N04000087,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,130
L-N04000087,2025-04,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,143
L-N04000087,2025-05,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,116
L-N04000087,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,126
L-N04000088,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,84
L-N04000088,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,87
L-N04000088,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,84
L-N04000088,2025-04,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,91
L-N04000088,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,78
L-N04000088,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,82
L-N04000089,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,43
L-N04000089,2025-02,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,43
L-N04000089,2025-03,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,41
L-N04000090,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,198
L-N04000090,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,203
L-N04000090,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,197
L-N04000090,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,220
L-N04000090,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,171
L-N04000090,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,189
L-N04000092,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,18
L-N04000092,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,19
L-N04000092,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,15
L-N04000092,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,18
L-N04000092,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,19
L-N04000092,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,18
L-N04000093,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,84
L-N04000093,2025-02,76,MISSING_TARGET_DATE;CUM_EXPENDITURE_DECREASE,LOCAL_CACHE,87
L-N04000093,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,84
L-N04000093,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,91
L-N04000093,2025-05,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,78
L-N04000093,2025-06,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,83
L-N04000094,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,213
L-N04000094,2025-02,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,219
L-N04000094,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,213
L-N04000094,2025-04,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,238
L-N04000094,2025-05,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,185
L-N04000094,2025-06,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,204
L-N04000096,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,136
L-N04000096,2025-02,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,141
L-N04000096,2025-03,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,136
L-N04000096,2025-04,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,151
L-N04000096,2025-05,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,122
L-N04000096,2025-06,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,133
L-N04000098,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,129
L-N04000098,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,134
L-N04000098,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,130
L-N04000098,2025-04,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,143
L-N04000098,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,116
L-N04000098,2025-06,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,127
L-N04000102,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,213
L-N04000102,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,219
L-N04000102,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,213
L-N04000102,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,238
