snapshot_month,source_report,source_url,source_page,format_family,parser_mode,canonical_project_id,paimana_project_code,legacy_ocms_code,pmgid,project_name,agency,ministry_department,sector,state,approval_date_raw,approval_date,start_date_raw,start_date,original_doc_raw,original_doc,revised_doc_raw,revised_doc,anticipated_doc_raw,anticipated_doc,original_cost_cr,revised_cost_cr,anticipated_cost_cr,cumulative_expenditure_cr,physical_progress_pct,current_target_doc,current_forecast_cost_cr,identity_confidence,data_quality_score,quality_flags,raw_project_cell,raw_row_text
2025-01,Flash Report 2025-01,LOCAL_CACHE,42,OCMS legacy,legacy_table7,L-N04000073,,N04000073,,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",AAI,,CIVIL AVIATION,"ANDAMAN
AND NICOBAR",10-2013,2013-10-01,,,9/2018,2018-09-01,6/2023,2023-06-01,,,417.23,707.73,707.73,698.8,100.0,,707.73,0.95,88,MISSING_TARGET_DATE,"CONSTRUCTION OF NEW INTEGRATED
TERMINAL BUILDING AT VSI AIRPORT,
PORTBLAIR
(AAI)
(N04000073)","ANDAMAN
AND NICOBAR | CIVIL AVIATION | 1 | CONSTRUCTION OF NEW INTEGRATED
TERMINAL BUILDING AT VSI AIRPORT,
PORTBLAIR
(AAI)
(N04000073) | 10-2013 | 9/2018
(May-23)
{6/2023} | 417.23
(707.73)
{707.73} | 698.80 | 100.00"
2025-02,Flash Report 2025-02,LOCAL_CACHE,42,OCMS legacy,legacy_table7,L-N04000073,,N04000073,,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",AAI,,CIVIL AVIATION,,10-2013,2013-10-01,,,9/2018,2018-09-01,6/2023,2023-06-01,,,417.23,707.73,707.73,698.8,100.0,,707.73,0.95,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,"CONSTRUCTION OF NEW
INTEGRATED TERMINAL
BUILDING AT VSI AIRPORT,
PORTBLAIR
(AAI)
(N04000073)"," | CIVIL AVIATION | 1 | CONSTRUCTION OF NEW
INTEGRATED TERMINAL
BUILDING AT VSI AIRPORT,
PORTBLAIR
(AAI)
(N04000073) | 10-2013 | 9/2018
(N.A.)
{6/2023} | 417.23
(707.73)
{707.73} | 698.80 | 100.00"
2025-03,Flash Report 2025-03,LOCAL_CACHE,40,OCMS legacy,legacy_table7,L-N04000073,,N04000073,,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",AAI,,CIVIL AVIATION,,10-2013,2013-10-01,,,9/2018,2018-09-01,6/2023,2023-06-01,,,417.23,707.73,707.73,698.8,100.0,,707.73,0.95,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,"CONSTRUCTION OF NEW
INTEGRATED TERMINAL
BUILDING AT VSI AIRPORT,
PORTBLAIR
(AAI)
(N04000073)"," | CIVIL AVIATION | 1 | CONSTRUCTION OF NEW
INTEGRATED TERMINAL
BUILDING AT VSI AIRPORT,
PORTBLAIR
(AAI)
(N04000073) | 10-2013 | 9/2018
(Jun-23)
{6/2023} | 417.23
(707.73)
{707.73} | 698.80 | 100.00"
2025-04,Flash Report 2025-04,LOCAL_CACHE,43,OCMS legacy,legacy_table7,L-N04000073,,N04000073,,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",AAI,,CIVIL AVIATION,ANDAMAN AND,10-2013,2013-10-01,,,9/2018,2018-09-01,6/2023,2023-06-01,6/2023,2023-06-01,417.23,707.73,707.73,698.8,100.0,,707.73,0.95,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,"CONSTRUCTION OF NEW
INTEGRATED TERMINAL
BUILDING AT VSI AIRPORT,
PORTBLAIR
(AAI)
(N04000073)","ANDAMAN AND | CIVIL AVIATION | 1 | CONSTRUCTION OF NEW
INTEGRATED TERMINAL
BUILDING AT VSI AIRPORT,
PORTBLAIR
(AAI)
(N04000073) | 10-2013 | 9/2018
(6/2023)
{6/2023} | 417.23
(707.73)
{707.73} | 698.80 | 100.00"
2025-05,Flash Report 2025-05,LOCAL_CACHE,43,OCMS legacy,legacy_table7,L-N04000073,,N04000073,,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",AAI,,"CIVIL
AVIATION",ANDAMAN AND,10-2013,2013-10-01,,,9/2018,2018-09-01,6/2023,2023-06-01,,,417.23,707.73,707.73,698.8,100.0,,707.73,0.95,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,"CONSTRUCTION OF NEW INTEGRATED
TERMINAL BUILDING AT VSI AIRPORT,
PORTBLAIR
(AAI)
(N04000073)","ANDAMAN AND | CIVIL
AVIATION | 1 | CONSTRUCTION OF NEW INTEGRATED
TERMINAL BUILDING AT VSI AIRPORT,
PORTBLAIR
(AAI)
(N04000073) | 10-2013 | 9/2018
(Jun-2023)
{6/2023} | 417.23
(707.73)
{707.73} | 698.80 | 100.00"
2025-06,Flash Report 2025-06,LOCAL_CACHE,41,OCMS legacy,legacy_table7,L-N04000073,,N04000073,,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",AAI,,CIVIL AVIATION,,10-2013,2013-10-01,,,9/2018,2018-09-01,6/2023,2023-06-01,,,417.23,707.73,707.73,698.8,100.0,,707.73,0.95,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,"CONSTRUCTION OF NEW INTEGRATED
TERMINAL BUILDING AT VSI AIRPORT,
PORTBLAIR
(AAI)
(N04000073)"," | CIVIL AVIATION | 1 | CONSTRUCTION OF NEW INTEGRATED
TERMINAL BUILDING AT VSI AIRPORT,
PORTBLAIR
(AAI)
(N04000073) | 10-2013 | 9/2018
(Jun-2023)
{6/2023} | 417.23
(707.73)
{707.73} | 698.80 | 100.00"
2025-01,Flash Report 2025-01,LOCAL_CACHE,197,OCMS legacy,legacy_table7,L-N04000074,,N04000074,,"MODERNIZATION OF CHENNAI AIRPORT PHASE II, CHENNAI",AAI,,,,6-2018,2018-06-01,,,2/2022,2022-02-01,3/2026,2026-03-01,,,2467.0,2467.0,,1534.29,69.0,,2467.0,0.95,88,MISSING_TARGET_DATE,"MODERNIZATION OF CHENNAI AIRPORT
PHASE II, CHENNAI
(AAI)
(N04000074)"," |  | 1365 | MODERNIZATION OF CHENNAI AIRPORT
PHASE II, CHENNAI
(AAI)
(N04000074) | 6-2018 | 2/2022
(Mar-26)
{3/2026} | 2,467.00
(N.A.)
{2,467.00} | 1,534.29 | 69.00"
2025-02,Flash Report 2025-02,LOCAL_CACHE,202,OCMS legacy,legacy_table7,L-N04000074,,N04000074,,"MODERNIZATION OF CHENNAI AIRPORT PHASE II, CHENNAI",AAI,,,,6-2018,2018-06-01,,,2/2022,2022-02-01,3/2026,2026-03-01,,,2467.0,2467.0,,1542.89,69.5,,2467.0,0.95,88,MISSING_TARGET_DATE,"MODERNIZATION OF CHENNAI
AIRPORT PHASE II, CHENNAI
(AAI)
(N04000074)"," |  | 1342 | MODERNIZATION OF CHENNAI
AIRPORT PHASE II, CHENNAI
(AAI)
(N04000074) | 6-2018 | 2/2022
(N.A.)
{3/2026} | 2,467.00
(N.A.)
{2,467.00} | 1,542.89 | 69.50"
2025-03,Flash Report 2025-03,LOCAL_CACHE,196,OCMS legacy,legacy_table7,L-N04000074,,N04000074,,"MODERNIZATION OF CHENNAI AIRPORT PHASE II, CHENNAI",AAI,,,,6-2018,2018-06-01,,,2/2022,2022-02-01,3/2026,2026-03-01,,,2467.0,2467.0,,1580.73,70.0,,2467.0,0.95,88,MISSING_TARGET_DATE,"MODERNIZATION OF CHENNAI
AIRPORT PHASE II, CHENNAI
(AAI)
(N04000074)"," |  | 1337 | MODERNIZATION OF CHENNAI
AIRPORT PHASE II, CHENNAI
(AAI)
(N04000074) | 6-2018 | 2/2022
(Mar-26)
{3/2026} | 2,467.00
(N.A.)
{2,467.00} | 1,580.73 | 70.00"
2025-04,Flash Report 2025-04,LOCAL_CACHE,220,OCMS legacy,legacy_table7,L-N04000074,,N04000074,,"MODERNIZATION OF CHENNAI AIRPORT PHASE II, CHENNAI",AAI,,CIVIL AVIATION,,6-2018,2018-06-01,,,2/2022,2022-02-01,6/2026,2026-06-01,6/2026,2026-06-01,2467.0,2467.0,,1586.75,70.0,,2467.0,0.95,88,MISSING_TARGET_DATE,"MODERNIZATION OF CHENNAI
AIRPORT PHASE II, CHENNAI
(AAI)
(N04000074)"," | CIVIL AVIATION | 1325 | MODERNIZATION OF CHENNAI
AIRPORT PHASE II, CHENNAI
(AAI)
(N04000074) | 6-2018 | 2/2022
(6/2026)
{6/2026} | 2,467.00
(N.A.)
{2,467.00} | 1,586.75 | 70.00"
