canonical_project_id,snapshot_month,sector,state,ministry_department,project_age_months,months_to_target,current_time_slip_months,current_cost_overrun_pct,spend_ratio_pct,physical_progress_pct,financial_physical_gap_pct,progress_delta_1m,progress_delta_3m,progress_delta_6m,spend_delta_1m_cr,spend_delta_3m_cr,spend_delta_6m_cr,progress_velocity_3m,schedule_pressure,stagnation_streak_months,target_revision_count_to_date,cost_revision_count_to_date,data_quality_score,missing_core_fields_count,delay_event_next_3m,delay_event_next_6m,cost_escalation_next_3m,cost_escalation_next_6m,future_coverage_3m,future_coverage_6m
L-N04000073,2025-01,CIVIL AVIATION,"ANDAMAN
AND NICOBAR",,,,,69.62586582939865,98.7382193774462,100.0,-1.2617806225538004,,,,,,,,,0,0,0,88,1,,,0,,1,0
L-N04000073,2025-02,CIVIL AVIATION,,,,,,69.62586582939865,98.7382193774462,100.0,-1.2617806225538004,0.0,,,0.0,,,,,1,0,0,84,1,,,0,,1,0
L-N04000073,2025-03,CIVIL AVIATION,,,,,,69.62586582939865,98.7382193774462,100.0,-1.2617806225538004,0.0,,,0.0,,,,,2,0,0,84,1,,,0,,1,0
L-N04000073,2025-04,CIVIL AVIATION,ANDAMAN AND,,,,,69.62586582939865,98.7382193774462,100.0,-1.2617806225538004,0.0,0.0,,0.0,0.0,,0.0,,3,0,0,84,1,,,,,0,0
L-N04000073,2025-05,"CIVIL
AVIATION",ANDAMAN AND,,,,,69.62586582939865,98.7382193774462,100.0,-1.2617806225538004,0.0,0.0,,0.0,0.0,,0.0,,4,0,0,84,1,,,,,0,0
L-N04000073,2025-06,CIVIL AVIATION,,,,,,69.62586582939865,98.7382193774462,100.0,-1.2617806225538004,0.0,0.0,,0.0,0.0,,0.0,,5,0,0,84,1,,,,,0,0
L-N04000074,2025-01,,,,,,,0.0,62.1925415484394,69.0,-6.807458451560599,,,,,,,,,0,0,0,88,1,,,0,,1,0
L-N04000074,2025-02,,,,,,,0.0,62.54114308877179,69.5,-6.95885691122821,0.5,,,8.600000000000136,,,,,0,0,0,88,1,,,0,,1,0
L-N04000074,2025-03,,,,,,,0.0,64.07498986623429,70.0,-5.92501013376571,0.5,,,37.83999999999992,,,,,0,0,0,88,1,,,0,,1,0
L-N04000074,2025-04,CIVIL AVIATION,,,,,,0.0,64.31901094446697,70.0,-5.680989055533033,0.0,1.0,,6.019999999999982,52.460000000000036,,0.3333333333333333,,1,0,0,88,1,,,,,0,0
L-N04000074,2025-05,"CIVIL
AVIATION",,,,,,0.0,64.92095662748277,71.0,-6.0790433725172335,1.0,1.5,,14.849999999999909,58.70999999999981,,0.5,,0,0,0,88,1,,,,,0,0
L-N04000074,2025-06,CIVIL AVIATION,,,,,,0.0,65.66801783542765,71.65,-5.981982164572358,0.6500000000000057,1.6500000000000057,,18.430000000000064,39.299999999999955,,0.5500000000000019,,0,0,0,88,1,,,,,0,0
L-N04000075,2025-01,,,,,,,16.94664031620554,100.0,100.0,0.0,,,,,,,,,0,0,0,88,1,,,,,0,0
L-N04000075,2025-02,,,,,,,16.94664031620554,100.0,100.0,0.0,0.0,,,0.0,,,,,1,0,0,84,1,,,,,0,0
L-N04000075,2025-03,,,,,,,16.94664031620554,100.0,100.0,0.0,0.0,,,0.0,,,,,2,0,0,84,1,,,,,0,0
L-N04000076,2025-01,CIVIL AVIATION,,,,,,15.605661619486492,96.95623700919678,100.0,-3.0437629908032164,,,,,,,,,0,0,0,88,1,,,0,,1,0
L-N04000076,2025-02,CIVIL AVIATION,,,,,,15.605661619486492,97.0103356965918,100.0,-2.9896643034082047,0.0,,,0.18999999999999773,,,,,1,0,0,88,1,,,0,,1,0
L-N04000076,2025-03,CIVIL AVIATION,,,,,,15.605661619486492,98.08661484581874,100.0,-1.913385154181256,0.0,,,3.7800000000000296,,,,,2,0,0,88,1,,,0,,1,0
L-N04000076,2025-04,CIVIL AVIATION,,,,,,15.605661619486492,98.08661484581874,100.0,-1.913385154181256,0.0,0.0,,0.0,3.9700000000000273,,0.0,,3,0,0,84,1,,,,,0,0
L-N04000076,2025-05,"CIVIL
AVIATION",,,,,,15.605661619486492,98.13217163520402,100.0,-1.867828364795983,0.0,0.0,,0.15999999999996817,3.9399999999999977,,0.0,,4,0,0,88,1,,,,,0,0
L-N04000076,2025-06,CIVIL AVIATION,,,,,,15.605661619486492,98.21189601662823,100.0,-1.7881039833717693,0.0,0.0,,0.28000000000002956,0.4399999999999977,,0.0,,5,0,0,88,1,,,,,0,0
L-N04000077,2025-01,CIVIL AVIATION,,,,,,138.01952277657267,79.02521712978574,79.03,-0.004782870214256718,,,,,,,,,0,0,0,88,1,,,0,,1,0
