metric,value
total_cleaned_project_month_rows,22972
unique_projects,2804
projects_with_ge_3_months_history,2609
projects_with_ge_6_months_history,1868
projects_with_ge_12_months_history,501
target_date_coverage_pct,99.88
duplicate_project_month_count,0
average_data_quality_score,90.35
usable_delay_3m_rows,10368
delay_3m_positives,1933
delay_3m_negatives,8435
usable_delay_6m_rows,3733
delay_6m_positives,752
delay_6m_negatives,2981
usable_cost_3m_rows,11609
cost_3m_positives,189
cost_3m_negatives,11420
usable_cost_6m_rows,4114
cost_6m_positives,133
cost_6m_negatives,3981
cost_escalation_threshold_pct,1.0
target_source_transition_rows,2933
semantic_ambiguity_delay_exclusions,4463
identity_rows_paimana_pct,85.51
identity_rows_legacy_ocms_pct,14.06
identity_rows_fallback_pct,0.43
ambiguous_identity_count,17
identity_collision_count,0
physical_progress_gt_100_count,1
progress_decrease_count,301
expenditure_decrease_count,938
suspicious_reset_count,85
partial_extraction_flag_count,0
possible_scope_change_flag_count,4028
dataset_status,YELLOW
