canonical_project_id,paimana_project_code,legacy_ocms_code,identity_source,identity_confidence,collision_flag
L-N04000073,,N04000073,LEGACY_OCMS_ID,0.95,0
L-N04000074,,N04000074,LEGACY_OCMS_ID,0.95,0
L-N04000075,,N04000075,LEGACY_OCMS_ID,0.95,0
L-N04000076,,N04000076,LEGACY_OCMS_ID,0.95,0
L-N04000077,,N04000077,LEGACY_OCMS_ID,0.95,0
L-N04000079,,N04000079,LEGACY_OCMS_ID,0.95,0
L-N04000080,,N04000080,LEGACY_OCMS_ID,0.95,0
L-N04000081,,N04000081,LEGACY_OCMS_ID,0.95,0
L-N04000085,,N04000085,LEGACY_OCMS_ID,0.95,0
L-N04000086,,N04000086,LEGACY_OCMS_ID,0.95,0
L-N04000087,,N04000087,LEGACY_OCMS_ID,0.95,0
L-N04000088,,N04000088,LEGACY_OCMS_ID,0.95,0
L-N04000089,,N04000089,LEGACY_OCMS_ID,0.95,0
L-N04000090,,N04000090,LEGACY_OCMS_ID,0.95,0
L-N04000092,,N04000092,LEGACY_OCMS_ID,0.95,0
L-N04000093,,N04000093,LEGACY_OCMS_ID,0.95,0
L-N04000094,,N04000094,LEGACY_OCMS_ID,0.95,0
L-N04000096,,N04000096,LEGACY_OCMS_ID,0.95,0
L-N04000098,,N04000098,LEGACY_OCMS_ID,0.95,0
L-N04000102,,N04000102,LEGACY_OCMS_ID,0.95,0
L-N06000008,,N06000008,LEGACY_OCMS_ID,0.95,0
L-N06000104,,N06000104,LEGACY_OCMS_ID,0.95,0
L-N06000117,,N06000117,LEGACY_OCMS_ID,0.95,0
L-N06000126,,N06000126,LEGACY_OCMS_ID,0.95,0
L-N06000161,,N06000161,LEGACY_OCMS_ID,0.95,0
L-N06000162,,N06000162,LEGACY_OCMS_ID,0.95,0
L-N06000189,,N06000189,LEGACY_OCMS_ID,0.95,0
L-N06000198,,N06000198,LEGACY_OCMS_ID,0.95,0
L-N06000210,,N06000210,LEGACY_OCMS_ID,0.95,0
L-N06000231,,N06000231,LEGACY_OCMS_ID,0.95,0
L-N06000248,,N06000248,LEGACY_OCMS_ID,0.95,0
L-N07000001,,N07000001,LEGACY_OCMS_ID,0.95,0
L-N10000011,,N10000011,LEGACY_OCMS_ID,0.95,0
L-N10000017,,N10000017,LEGACY_OCMS_ID,0.95,0
L-N12000122,,N12000122,LEGACY_OCMS_ID,0.95,0
L-N12000125,,N12000125,LEGACY_OCMS_ID,0.95,0
L-N16000235,,N16000235,LEGACY_OCMS_ID,0.95,0
L-N16000239,,N16000239,LEGACY_OCMS_ID,0.95,0
L-N16000343,,N16000343,LEGACY_OCMS_ID,0.95,0
L-N16000358,,N16000358,LEGACY_OCMS_ID,0.95,0
L-N16000361,,N16000361,LEGACY_OCMS_ID,0.95,0
L-N16000369,,N16000369,LEGACY_OCMS_ID,0.95,0
L-N16000378,,N16000378,LEGACY_OCMS_ID,0.95,0
L-N16000382,,N16000382,LEGACY_OCMS_ID,0.95,0
L-N16000392,,N16000392,LEGACY_OCMS_ID,0.95,0
L-N16000411,,N16000411,LEGACY_OCMS_ID,0.95,0
L-N16000413,,N16000413,LEGACY_OCMS_ID,0.95,0
L-N16000423,,N16000423,LEGACY_OCMS_ID,0.95,0
L-N16000426,,N16000426,LEGACY_OCMS_ID,0.95,0
L-N16000429,,N16000429,LEGACY_OCMS_ID,0.95,0
L-N16000436,,N16000436,LEGACY_OCMS_ID,0.95,0
L-N16000440,,N16000440,LEGACY_OCMS_ID,0.95,0
L-N16000442,,N16000442,LEGACY_OCMS_ID,0.95,0
L-N16000446,,N16000446,LEGACY_OCMS_ID,0.95,0
L-N16000452,,N16000452,LEGACY_OCMS_ID,0.95,0
L-N16000486,,N16000486,LEGACY_OCMS_ID,0.95,0
L-N16000496,,N16000496,LEGACY_OCMS_ID,0.95,0
L-N16000499,,N16000499,LEGACY_OCMS_ID,0.95,0
L-N16000500,,N16000500,LEGACY_OCMS_ID,0.95,0
L-N16000502,,N16000502,LEGACY_OCMS_ID,0.95,0
L-N16000507,,N16000507,LEGACY_OCMS_ID,0.95,0
L-N16000508,,N16000508,LEGACY_OCMS_ID,0.95,0
L-N16000535,,N16000535,LEGACY_OCMS_ID,0.95,0
L-N18000142,,N18000142,LEGACY_OCMS_ID,0.95,0
L-N18000177,,N18000177,LEGACY_OCMS_ID,0.95,0
L-N18000264,,N18000264,LEGACY_OCMS_ID,0.95,0
L-N18000272,,N18000272,LEGACY_OCMS_ID,0.95,0
L-N18000286,,N18000286,LEGACY_OCMS_ID,0.95,0
L-N18000293,,N18000293,LEGACY_OCMS_ID,0.95,0
L-N18000295,,N18000295,LEGACY_OCMS_ID,0.95,0
L-N18000296,,N18000296,LEGACY_OCMS_ID,0.95,0
L-N18000319,,N18000319,LEGACY_OCMS_ID,0.95,0
L-N18000320,,N18000320,LEGACY_OCMS_ID,0.95,0
L-N18000321,,N18000321,LEGACY_OCMS_ID,0.95,0
L-N18000322,,N18000322,LEGACY_OCMS_ID,0.95,0
L-N18000328,,N18000328,LEGACY_OCMS_ID,0.95,0
L-N18000330,,N18000330,LEGACY_OCMS_ID,0.95,0
L-N18000331,,N18000331,LEGACY_OCMS_ID,0.95,0
L-N18000332,,N18000332,LEGACY_OCMS_ID,0.95,0
L-N18000335,,N18000335,LEGACY_OCMS_ID,0.95,0
L-N18000338,,N18000338,LEGACY_OCMS_ID,0.95,0
L-N18000343,,N18000343,LEGACY_OCMS_ID,0.95,0
L-N18000345,,N18000345,LEGACY_OCMS_ID,0.95,0
L-N18000346,,N18000346,LEGACY_OCMS_ID,0.95,0
L-N18000347,,N18000347,LEGACY_OCMS_ID,0.95,0
L-N18000348,,N18000348,LEGACY_OCMS_ID,0.95,0
L-N18000349,,N18000349,LEGACY_OCMS_ID,0.95,0
L-N18000350,,N18000350,LEGACY_OCMS_ID,0.95,0
L-N18000351,,N18000351,LEGACY_OCMS_ID,0.95,0
L-N18000353,,N18000353,LEGACY_OCMS_ID,0.95,0
L-N18000354,,N18000354,LEGACY_OCMS_ID,0.95,0
L-N18000355,,N18000355,LEGACY_OCMS_ID,0.95,0
L-N18000356,,N18000356,LEGACY_OCMS_ID,0.95,0
L-N18000357,,N18000357,LEGACY_OCMS_ID,0.95,0
L-N18000358,,N18000358,LEGACY_OCMS_ID,0.95,0
L-N18000359,,N18000359,LEGACY_OCMS_ID,0.95,0
L-N18000360,,N18000360,LEGACY_OCMS_ID,0.95,0
L-N18000361,,N18000361,LEGACY_OCMS_ID,0.95,0
L-N18000365,,N18000365,LEGACY_OCMS_ID,0.95,0
L-N18000366,,N18000366,LEGACY_OCMS_ID,0.95,0
L-N18000368,,N18000368,LEGACY_OCMS_ID,0.95,0
L-N18000370,,N18000370,LEGACY_OCMS_ID,0.95,0
L-N18000372,,N18000372,LEGACY_OCMS_ID,0.95,0
L-N18000376,,N18000376,LEGACY_OCMS_ID,0.95,0
L-N18000406,,N18000406,LEGACY_OCMS_ID,0.95,0
L-N18000418,,N18000418,LEGACY_OCMS_ID,0.95,0
L-N21000027,,N21000027,LEGACY_OCMS_ID,0.95,0
L-N21000029,,N21000029,LEGACY_OCMS_ID,0.95,0
L-N22000087,,N22000087,LEGACY_OCMS_ID,0.95,0
L-N22000100,,N22000100,LEGACY_OCMS_ID,0.95,0
L-N22000171,,N22000171,LEGACY_OCMS_ID,0.95,0
L-N22000183,,N22000183,LEGACY_OCMS_ID,0.95,0
L-N22000274,,N22000274,LEGACY_OCMS_ID,0.95,0
L-N22000349,,N22000349,LEGACY_OCMS_ID,0.95,0
L-N22000401,,N22000401,LEGACY_OCMS_ID,0.95,0
L-N22000417,,N22000417,LEGACY_OCMS_ID,0.95,0
L-N22000418,,N22000418,LEGACY_OCMS_ID,0.95,0
L-N22000419,,N22000419,LEGACY_OCMS_ID,0.95,0
L-N22000470,,N22000470,LEGACY_OCMS_ID,0.95,0
L-N22000485,,N22000485,LEGACY_OCMS_ID,0.95,0
L-N22000502,,N22000502,LEGACY_OCMS_ID,0.95,0
L-N22000504,,N22000504,LEGACY_OCMS_ID,0.95,0
L-N22000505,,N22000505,LEGACY_OCMS_ID,0.95,0
L-N22000510,,N22000510,LEGACY_OCMS_ID,0.95,0
L-N22000511,,N22000511,LEGACY_OCMS_ID,0.95,0
L-N22000515,,N22000515,LEGACY_OCMS_ID,0.95,0
L-N22000518,,N22000518,LEGACY_OCMS_ID,0.95,0
L-N22000519,,N22000519,LEGACY_OCMS_ID,0.95,0
L-N22000522,,N22000522,LEGACY_OCMS_ID,0.95,0
L-N22000523,,N22000523,LEGACY_OCMS_ID,0.95,0
L-N22000525,,N22000525,LEGACY_OCMS_ID,0.95,0
L-N22000526,,N22000526,LEGACY_OCMS_ID,0.95,0
L-N22000528,,N22000528,LEGACY_OCMS_ID,0.95,0
L-N22000533,,N22000533,LEGACY_OCMS_ID,0.95,0
L-N22000537,,N22000537,LEGACY_OCMS_ID,0.95,0
L-N22000547,,N22000547,LEGACY_OCMS_ID,0.95,0
L-N22000548,,N22000548,LEGACY_OCMS_ID,0.95,0
L-N22000555,,N22000555,LEGACY_OCMS_ID,0.95,0
L-N22000556,,N22000556,LEGACY_OCMS_ID,0.95,0
L-N22000566,,N22000566,LEGACY_OCMS_ID,0.95,0
L-N22000568,,N22000568,LEGACY_OCMS_ID,0.95,0
L-N22000570,,N22000570,LEGACY_OCMS_ID,0.95,0
L-N22000571,,N22000571,LEGACY_OCMS_ID,0.95,0
L-N22000589,,N22000589,LEGACY_OCMS_ID,0.95,0
L-N22000591,,N22000591,LEGACY_OCMS_ID,0.95,0
L-N22000594,,N22000594,LEGACY_OCMS_ID,0.95,0
L-N22000596,,N22000596,LEGACY_OCMS_ID,0.95,0
L-N22000599,,N22000599,LEGACY_OCMS_ID,0.95,0
L-N22000600,,N22000600,LEGACY_OCMS_ID,0.95,0
L-N22000605,,N22000605,LEGACY_OCMS_ID,0.95,0
L-N22000609,,N22000609,LEGACY_OCMS_ID,0.95,0
L-N22000610,,N22000610,LEGACY_OCMS_ID,0.95,0
L-N22000612,,N22000612,LEGACY_OCMS_ID,0.95,0
L-N22000613,,N22000613,LEGACY_OCMS_ID,0.95,0
L-N22000614,,N22000614,LEGACY_OCMS_ID,0.95,0
L-N22000616,,N22000616,LEGACY_OCMS_ID,0.95,0
L-N22000618,,N22000618,LEGACY_OCMS_ID,0.95,0
L-N22000625,,N22000625,LEGACY_OCMS_ID,0.95,0
L-N22000628,,N22000628,LEGACY_OCMS_ID,0.95,0
L-N22000630,,N22000630,LEGACY_OCMS_ID,0.95,0
L-N22000632,,N22000632,LEGACY_OCMS_ID,0.95,0
L-N24000165,,N24000165,LEGACY_OCMS_ID,0.95,0
L-N24000245,,N24000245,LEGACY_OCMS_ID,0.95,0
L-N24000247,,N24000247,LEGACY_OCMS_ID,0.95,0
L-N24000248,,N24000248,LEGACY_OCMS_ID,0.95,0
L-N24000301,,N24000301,LEGACY_OCMS_ID,0.95,0
L-N24000332,,N24000332,LEGACY_OCMS_ID,0.95,0
L-N24000334,,N24000334,LEGACY_OCMS_ID,0.95,0
L-N24000463,,N24000463,LEGACY_OCMS_ID,0.95,0
L-N24000465,,N24000465,LEGACY_OCMS_ID,0.95,0
L-N24000488,,N24000488,LEGACY_OCMS_ID,0.95,0
L-N24000531,,N24000531,LEGACY_OCMS_ID,0.95,0
L-N24000552,,N24000552,LEGACY_OCMS_ID,0.95,0
L-N24000556,,N24000556,LEGACY_OCMS_ID,0.95,0
L-N24000559,,N24000559,LEGACY_OCMS_ID,0.95,0
L-N24000560,,N24000560,LEGACY_OCMS_ID,0.95,0
L-N24000564,,N24000564,LEGACY_OCMS_ID,0.95,0
L-N24000567,,N24000567,LEGACY_OCMS_ID,0.95,0
L-N24000570,,N24000570,LEGACY_OCMS_ID,0.95,0
L-N24000576,,N24000576,LEGACY_OCMS_ID,0.95,0
L-N24000578,,N24000578,LEGACY_OCMS_ID,0.95,0
L-N24000603,,N24000603,LEGACY_OCMS_ID,0.95,0
L-N24000649,,N24000649,LEGACY_OCMS_ID,0.95,0
L-N24000655,,N24000655,LEGACY_OCMS_ID,0.95,0
L-N24000659,,N24000659,LEGACY_OCMS_ID,0.95,0
L-N24000683,,N24000683,LEGACY_OCMS_ID,0.95,0
L-N24000685,,N24000685,LEGACY_OCMS_ID,0.95,0
L-N24000686,,N24000686,LEGACY_OCMS_ID,0.95,0
L-N24000688,,N24000688,LEGACY_OCMS_ID,0.95,0
L-N24000697,,N24000697,LEGACY_OCMS_ID,0.95,0
L-N24000704,,N24000704,LEGACY_OCMS_ID,0.95,0
L-N24000709,,N24000709,LEGACY_OCMS_ID,0.95,0
L-N24000736,,N24000736,LEGACY_OCMS_ID,0.95,0
L-N24000741,,N24000741,LEGACY_OCMS_ID,0.95,0
L-N24000742,,N24000742,LEGACY_OCMS_ID,0.95,0
L-N24000743,,N24000743,LEGACY_OCMS_ID,0.95,0
L-N24000745,,N24000745,LEGACY_OCMS_ID,0.95,0
L-N24000749,,N24000749,LEGACY_OCMS_ID,0.95,0
L-N24000752,,N24000752,LEGACY_OCMS_ID,0.95,0
L-N24000753,,N24000753,LEGACY_OCMS_ID,0.95,0
L-N24000756,,N24000756,LEGACY_OCMS_ID,0.95,0
L-N24000767,,N24000767,LEGACY_OCMS_ID,0.95,0
L-N24000768,,N24000768,LEGACY_OCMS_ID,0.95,0
L-N24000771,,N24000771,LEGACY_OCMS_ID,0.95,0
L-N24000772,,N24000772,LEGACY_OCMS_ID,0.95,0
L-N24000773,,N24000773,LEGACY_OCMS_ID,0.95,0
L-N24000774,,N24000774,LEGACY_OCMS_ID,0.95,0
L-N24000776,,N24000776,LEGACY_OCMS_ID,0.95,0
L-N24000777,,N24000777,LEGACY_OCMS_ID,0.95,0
L-N24000778,,N24000778,LEGACY_OCMS_ID,0.95,0
L-N24000780,,N24000780,LEGACY_OCMS_ID,0.95,0
L-N24000782,,N24000782,LEGACY_OCMS_ID,0.95,0
L-N24000796,,N24000796,LEGACY_OCMS_ID,0.95,0
L-N24000798,,N24000798,LEGACY_OCMS_ID,0.95,0
L-N24000821,,N24000821,LEGACY_OCMS_ID,0.95,0
L-N24000851,,N24000851,LEGACY_OCMS_ID,0.95,0
L-N24000858,,N24000858,LEGACY_OCMS_ID,0.95,0
L-N24000859,,N24000859,LEGACY_OCMS_ID,0.95,0
L-N24000880,,N24000880,LEGACY_OCMS_ID,0.95,0
L-N24000885,,N24000885,LEGACY_OCMS_ID,0.95,0
L-N24000907,,N24000907,LEGACY_OCMS_ID,0.95,0
L-N24000909,,N24000909,LEGACY_OCMS_ID,0.95,0
L-N24000910,,N24000910,LEGACY_OCMS_ID,0.95,0
L-N24000912,,N24000912,LEGACY_OCMS_ID,0.95,0
L-N24000914,,N24000914,LEGACY_OCMS_ID,0.95,0
L-N24000917,,N24000917,LEGACY_OCMS_ID,0.95,0
L-N24000925,,N24000925,LEGACY_OCMS_ID,0.95,0
L-N24000931,,N24000931,LEGACY_OCMS_ID,0.95,0
L-N24000941,,N24000941,LEGACY_OCMS_ID,0.95,0
L-N24000948,,N24000948,LEGACY_OCMS_ID,0.95,0
L-N24000980,,N24000980,LEGACY_OCMS_ID,0.95,0
L-N24000982,,N24000982,LEGACY_OCMS_ID,0.95,0
L-N24000984,,N24000984,LEGACY_OCMS_ID,0.95,0
L-N24000986,,N24000986,LEGACY_OCMS_ID,0.95,0
L-N24000990,,N24000990,LEGACY_OCMS_ID,0.95,0
L-N24000993,,N24000993,LEGACY_OCMS_ID,0.95,0
L-N24000998,,N24000998,LEGACY_OCMS_ID,0.95,0
L-N24001003,,N24001003,LEGACY_OCMS_ID,0.95,0
L-N24001008,,N24001008,LEGACY_OCMS_ID,0.95,0
L-N24001013,,N24001013,LEGACY_OCMS_ID,0.95,0
L-N24001017,,N24001017,LEGACY_OCMS_ID,0.95,0
L-N24001018,,N24001018,LEGACY_OCMS_ID,0.95,0
L-N24001021,,N24001021,LEGACY_OCMS_ID,0.95,0
L-N24001022,,N24001022,LEGACY_OCMS_ID,0.95,0
L-N24001027,,N24001027,LEGACY_OCMS_ID,0.95,0
L-N24001039,,N24001039,LEGACY_OCMS_ID,0.95,0
L-N24001046,,N24001046,LEGACY_OCMS_ID,0.95,0
L-N24001050,,N24001050,LEGACY_OCMS_ID,0.95,0
L-N24001058,,N24001058,LEGACY_OCMS_ID,0.95,0
L-N24001069,,N24001069,LEGACY_OCMS_ID,0.95,0
L-N24001078,,N24001078,LEGACY_OCMS_ID,0.95,0
L-N24001079,,N24001079,LEGACY_OCMS_ID,0.95,0
L-N24001080,,N24001080,LEGACY_OCMS_ID,0.95,0
L-N24001081,,N24001081,LEGACY_OCMS_ID,0.95,0
L-N24001090,,N24001090,LEGACY_OCMS_ID,0.95,0
L-N24001092,,N24001092,LEGACY_OCMS_ID,0.95,0
L-N24001095,,N24001095,LEGACY_OCMS_ID,0.95,0
L-N24001097,,N24001097,LEGACY_OCMS_ID,0.95,0
L-N24001099,,N24001099,LEGACY_OCMS_ID,0.95,0
L-N24001101,,N24001101,LEGACY_OCMS_ID,0.95,0
L-N24001102,,N24001102,LEGACY_OCMS_ID,0.95,0
L-N24001111,,N24001111,LEGACY_OCMS_ID,0.95,0
L-N24001114,,N24001114,LEGACY_OCMS_ID,0.95,0
L-N24001124,,N24001124,LEGACY_OCMS_ID,0.95,0
L-N24001125,,N24001125,LEGACY_OCMS_ID,0.95,0
L-N24001127,,N24001127,LEGACY_OCMS_ID,0.95,0
L-N24001130,,N24001130,LEGACY_OCMS_ID,0.95,0
L-N24001138,,N24001138,LEGACY_OCMS_ID,0.95,0
L-N24001156,,N24001156,LEGACY_OCMS_ID,0.95,0
L-N24001157,,N24001157,LEGACY_OCMS_ID,0.95,0
L-N24001158,,N24001158,LEGACY_OCMS_ID,0.95,0
L-N24001159,,N24001159,LEGACY_OCMS_ID,0.95,0
L-N24001160,,N24001160,LEGACY_OCMS_ID,0.95,0
L-N24001161,,N24001161,LEGACY_OCMS_ID,0.95,0
L-N24001162,,N24001162,LEGACY_OCMS_ID,0.95,0
L-N24001164,,N24001164,LEGACY_OCMS_ID,0.95,0
L-N24001165,,N24001165,LEGACY_OCMS_ID,0.95,0
L-N24001166,,N24001166,LEGACY_OCMS_ID,0.95,0
L-N24001168,,N24001168,LEGACY_OCMS_ID,0.95,0
L-N24001172,,N24001172,LEGACY_OCMS_ID,0.95,0
L-N24001173,,N24001173,LEGACY_OCMS_ID,0.95,0
L-N24001179,,N24001179,LEGACY_OCMS_ID,0.95,0
L-N24001180,,N24001180,LEGACY_OCMS_ID,0.95,0
L-N24001216,,N24001216,LEGACY_OCMS_ID,0.95,0
L-N24001217,,N24001217,LEGACY_OCMS_ID,0.95,0
L-N24001221,,N24001221,LEGACY_OCMS_ID,0.95,0
L-N24001222,,N24001222,LEGACY_OCMS_ID,0.95,0
L-N24001241,,N24001241,LEGACY_OCMS_ID,0.95,0
L-N24001244,,N24001244,LEGACY_OCMS_ID,0.95,0
L-N24001254,,N24001254,LEGACY_OCMS_ID,0.95,0
L-N24001259,,N24001259,LEGACY_OCMS_ID,0.95,0
L-N24001271,,N24001271,LEGACY_OCMS_ID,0.95,0
L-N24001272,,N24001272,LEGACY_OCMS_ID,0.95,0
L-N24001273,,N24001273,LEGACY_OCMS_ID,0.95,0
L-N24001276,,N24001276,LEGACY_OCMS_ID,0.95,0
L-N24001277,,N24001277,LEGACY_OCMS_ID,0.95,0
L-N24001286,,N24001286,LEGACY_OCMS_ID,0.95,0
L-N24001291,,N24001291,LEGACY_OCMS_ID,0.95,0
L-N24001292,,N24001292,LEGACY_OCMS_ID,0.95,0
L-N24001293,,N24001293,LEGACY_OCMS_ID,0.95,0
L-N24001303,,N24001303,LEGACY_OCMS_ID,0.95,0
L-N24001309,,N24001309,LEGACY_OCMS_ID,0.95,0
L-N24001317,,N24001317,LEGACY_OCMS_ID,0.95,0
L-N24001322,,N24001322,LEGACY_OCMS_ID,0.95,0
L-N24001325,,N24001325,LEGACY_OCMS_ID,0.95,0
L-N24001339,,N24001339,LEGACY_OCMS_ID,0.95,0
L-N24001342,,N24001342,LEGACY_OCMS_ID,0.95,0
L-N24001343,,N24001343,LEGACY_OCMS_ID,0.95,0
L-N24001353,,N24001353,LEGACY_OCMS_ID,0.95,0
L-N24001355,,N24001355,LEGACY_OCMS_ID,0.95,0
L-N24001356,,N24001356,LEGACY_OCMS_ID,0.95,0
L-N24001360,,N24001360,LEGACY_OCMS_ID,0.95,0
L-N24001361,,N24001361,LEGACY_OCMS_ID,0.95,0
L-N24001363,,N24001363,LEGACY_OCMS_ID,0.95,0
L-N24001366,,N24001366,LEGACY_OCMS_ID,0.95,0
L-N24001370,,N24001370,LEGACY_OCMS_ID,0.95,0
L-N24001372,,N24001372,LEGACY_OCMS_ID,0.95,0
L-N24001374,,N24001374,LEGACY_OCMS_ID,0.95,0
L-N24001377,,N24001377,LEGACY_OCMS_ID,0.95,0
L-N24001378,,N24001378,LEGACY_OCMS_ID,0.95,0
L-N24001379,,N24001379,LEGACY_OCMS_ID,0.95,0
L-N24001381,,N24001381,LEGACY_OCMS_ID,0.95,0
L-N24001382,,N24001382,LEGACY_OCMS_ID,0.95,0
L-N24001383,,N24001383,LEGACY_OCMS_ID,0.95,0
L-N24001387,,N24001387,LEGACY_OCMS_ID,0.95,0
L-N24001388,,N24001388,LEGACY_OCMS_ID,0.95,0
L-N24001389,,N24001389,LEGACY_OCMS_ID,0.95,0
L-N24001391,,N24001391,LEGACY_OCMS_ID,0.95,0
L-N24001397,,N24001397,LEGACY_OCMS_ID,0.95,0
L-N24001401,,N24001401,LEGACY_OCMS_ID,0.95,0
L-N24001402,,N24001402,LEGACY_OCMS_ID,0.95,0
L-N24001404,,N24001404,LEGACY_OCMS_ID,0.95,0
L-N24001405,,N24001405,LEGACY_OCMS_ID,0.95,0
L-N24001408,,N24001408,LEGACY_OCMS_ID,0.95,0
L-N24001424,,N24001424,LEGACY_OCMS_ID,0.95,0
L-N24001426,,N24001426,LEGACY_OCMS_ID,0.95,0
L-N24001427,,N24001427,LEGACY_OCMS_ID,0.95,0
L-N24001428,,N24001428,LEGACY_OCMS_ID,0.95,0
L-N24001430,,N24001430,LEGACY_OCMS_ID,0.95,0
L-N24001432,,N24001432,LEGACY_OCMS_ID,0.95,0
L-N24001439,,N24001439,LEGACY_OCMS_ID,0.95,0
L-N24001440,,N24001440,LEGACY_OCMS_ID,0.95,0
L-N24001448,,N24001448,LEGACY_OCMS_ID,0.95,0
L-N24001451,,N24001451,LEGACY_OCMS_ID,0.95,0
L-N24001453,,N24001453,LEGACY_OCMS_ID,0.95,0
L-N24001455,,N24001455,LEGACY_OCMS_ID,0.95,0
L-N24001456,,N24001456,LEGACY_OCMS_ID,0.95,0
L-N24001464,,N24001464,LEGACY_OCMS_ID,0.95,0
L-N24001467,,N24001467,LEGACY_OCMS_ID,0.95,0
L-N24001468,,N24001468,LEGACY_OCMS_ID,0.95,0
L-N24001472,,N24001472,LEGACY_OCMS_ID,0.95,0
L-N24001475,,N24001475,LEGACY_OCMS_ID,0.95,0
L-N24001480,,N24001480,LEGACY_OCMS_ID,0.95,0
L-N24001488,,N24001488,LEGACY_OCMS_ID,0.95,0
L-N24001501,,N24001501,LEGACY_OCMS_ID,0.95,0
L-N24001503,,N24001503,LEGACY_OCMS_ID,0.95,0
L-N24001505,,N24001505,LEGACY_OCMS_ID,0.95,0
L-N24001516,,N24001516,LEGACY_OCMS_ID,0.95,0
L-N24001523,,N24001523,LEGACY_OCMS_ID,0.95,0
L-N24001524,,N24001524,LEGACY_OCMS_ID,0.95,0
L-N24001525,,N24001525,LEGACY_OCMS_ID,0.95,0
L-N24001529,,N24001529,LEGACY_OCMS_ID,0.95,0
L-N24001532,,N24001532,LEGACY_OCMS_ID,0.95,0
L-N24001533,,N24001533,LEGACY_OCMS_ID,0.95,0
L-N24001534,,N24001534,LEGACY_OCMS_ID,0.95,0
L-N24001536,,N24001536,LEGACY_OCMS_ID,0.95,0
L-N24001538,,N24001538,LEGACY_OCMS_ID,0.95,0
L-N24001539,,N24001539,LEGACY_OCMS_ID,0.95,0
L-N24001540,,N24001540,LEGACY_OCMS_ID,0.95,0
L-N24001541,,N24001541,LEGACY_OCMS_ID,0.95,0
L-N24001542,,N24001542,LEGACY_OCMS_ID,0.95,0
L-N24001553,,N24001553,LEGACY_OCMS_ID,0.95,0
