snapshot_month,project_month_rows,unique_projects,declared_project_count,serial_extraction_completeness_pct,relative_scope_ratio,duplicate_project_months,possible_partial_extraction,possible_scope_change
2025-01,1719,1719,,,1.0396,0,0,0
2025-02,1682,1682,,,1.0172,0,0,0
2025-03,1677,1677,,,1.0142,0,0,0
2025-04,1670,1670,,,1.01,0,0,0
2025-05,1637,1637,,,0.99,0,0,0
2025-06,1595,1595,,,0.9646,0,0,0
2025-07,791,791,791,100.0,0.4784,0,0,1
2025-08,800,800,800,100.0,0.4838,0,0,1
2025-09,794,794,794,100.0,0.4802,0,0,1
2025-10,820,820,820,100.0,0.4959,0,0,1
2025-11,823,823,823,100.0,0.4977,0,0,1
2025-12,1392,1392,1392,100.0,0.8419,0,0,0
2026-01,1702,1702,1702,100.0,1.0293,0,0,0
2026-02,1948,1948,1948,100.0,1.1781,0,0,0
2026-03,1941,1941,1941,100.0,1.1739,0,0,0
2026-04,1981,1981,1981,100.0,1.1981,0,0,0
