canonical_project_id,first_snapshot,last_snapshot,observed_months,calendar_span_months,coverage_pct,missing_month_count,missing_months
L-N04000073,2025-01,2025-06,6,6,100.0,0,
L-N04000074,2025-01,2025-06,6,6,100.0,0,
L-N04000075,2025-01,2025-03,3,3,100.0,0,
L-N04000076,2025-01,2025-06,6,6,100.0,0,
L-N04000077,2025-01,2025-06,6,6,100.0,0,
L-N04000079,2025-01,2025-06,6,6,100.0,0,
L-N04000080,2025-01,2025-06,6,6,100.0,0,
L-N04000081,2025-01,2025-06,6,6,100.0,0,
L-N04000085,2025-01,2025-06,6,6,100.0,0,
L-N04000086,2025-01,2025-03,3,3,100.0,0,
L-N04000087,2025-01,2025-06,6,6,100.0,0,
L-N04000088,2025-01,2025-06,6,6,100.0,0,
L-N04000089,2025-01,2025-03,3,3,100.0,0,
L-N04000090,2025-01,2025-06,6,6,100.0,0,
L-N04000092,2025-01,2025-06,6,6,100.0,0,
L-N04000093,2025-01,2025-06,6,6,100.0,0,
L-N04000094,2025-01,2025-06,6,6,100.0,0,
L-N04000096,2025-01,2025-06,6,6,100.0,0,
L-N04000098,2025-01,2025-06,6,6,100.0,0,
L-N04000102,2025-01,2025-06,6,6,100.0,0,
L-N06000008,2025-01,2025-01,1,1,100.0,0,
L-N06000104,2025-01,2025-06,6,6,100.0,0,
L-N06000117,2025-01,2025-01,1,1,100.0,0,
L-N06000126,2025-01,2025-01,1,1,100.0,0,
L-N06000161,2025-01,2025-06,6,6,100.0,0,
L-N06000162,2025-01,2025-01,1,1,100.0,0,
L-N06000189,2025-01,2025-04,4,4,100.0,0,
L-N06000198,2025-01,2025-06,6,6,100.0,0,
L-N06000210,2025-01,2025-06,6,6,100.0,0,
L-N06000231,2025-01,2025-01,1,1,100.0,0,
L-N06000248,2025-01,2025-01,1,1,100.0,0,
L-N07000001,2025-01,2025-06,6,6,100.0,0,
L-N10000011,2025-01,2025-06,6,6,100.0,0,
L-N10000017,2025-01,2025-06,6,6,100.0,0,
L-N12000122,2025-01,2025-06,6,6,100.0,0,
L-N12000125,2025-01,2025-06,6,6,100.0,0,
L-N16000235,2025-01,2025-02,2,2,100.0,0,
L-N16000239,2025-01,2025-02,2,2,100.0,0,
L-N16000343,2025-01,2025-03,3,3,100.0,0,
L-N16000358,2025-01,2025-03,3,3,100.0,0,
L-N16000361,2025-01,2025-04,4,4,100.0,0,
L-N16000369,2025-01,2025-06,6,6,100.0,0,
L-N16000378,2025-01,2025-02,2,2,100.0,0,
L-N16000382,2025-01,2025-06,6,6,100.0,0,
L-N16000392,2025-01,2025-05,5,5,100.0,0,
L-N16000411,2025-01,2025-06,6,6,100.0,0,
L-N16000413,2025-01,2025-03,3,3,100.0,0,
L-N16000423,2025-01,2025-06,6,6,100.0,0,
L-N16000426,2025-01,2025-05,5,5,100.0,0,
L-N16000429,2025-01,2025-06,6,6,100.0,0,
L-N16000436,2025-01,2025-02,2,2,100.0,0,
L-N16000440,2025-01,2025-06,6,6,100.0,0,
L-N16000442,2025-01,2025-06,6,6,100.0,0,
L-N16000446,2025-01,2025-06,6,6,100.0,0,
L-N16000452,2025-01,2025-06,6,6,100.0,0,
L-N16000486,2025-01,2025-06,6,6,100.0,0,
L-N16000496,2025-01,2025-05,5,5,100.0,0,
L-N16000499,2025-01,2025-06,6,6,100.0,0,
L-N16000500,2025-01,2025-06,6,6,100.0,0,
L-N16000502,2025-01,2025-02,2,2,100.0,0,
L-N16000507,2025-01,2025-06,6,6,100.0,0,
L-N16000508,2025-01,2025-06,6,6,100.0,0,
L-N16000535,2025-01,2025-06,6,6,100.0,0,
L-N18000142,2025-01,2025-06,6,6,100.0,0,
L-N18000177,2025-01,2025-06,6,6,100.0,0,
