project_id,snapshot_month,previous_target,previous_target_source,current_target,current_target_source,reporting_regime,interpreted_change_months,semantic_comparable,exclusion_reason
L-N04000073,2025-04,2023-06-01,REVISED,2023-06-01,ANTICIPATED,OCMS_LEGACY,0,1,
L-N04000073,2025-05,2023-06-01,ANTICIPATED,2023-06-01,REVISED,OCMS_LEGACY,0,1,
L-N04000074,2025-04,2026-03-01,REVISED,2026-06-01,ANTICIPATED,OCMS_LEGACY,3,0,TARGET_SOURCE_TRANSITION
L-N04000074,2025-05,2026-06-01,ANTICIPATED,2026-06-01,REVISED,OCMS_LEGACY,0,1,
L-N04000076,2025-04,2024-04-01,REVISED,2024-04-01,ANTICIPATED,OCMS_LEGACY,0,1,
L-N04000076,2025-05,2024-04-01,ANTICIPATED,2024-04-01,REVISED,OCMS_LEGACY,0,1,
L-N04000077,2025-04,2026-10-01,REVISED,2026-10-01,ANTICIPATED,OCMS_LEGACY,0,1,
L-N04000077,2025-05,2026-10-01,ANTICIPATED,2026-10-01,REVISED,OCMS_LEGACY,0,1,
L-N04000079,2025-04,2023-12-01,REVISED,2023-12-01,ANTICIPATED,OCMS_LEGACY,0,1,
L-N04000079,2025-05,2023-12-01,ANTICIPATED,2023-12-01,REVISED,OCMS_LEGACY,0,1,
L-N04000080,2025-04,2023-12-01,REVISED,2023-12-01,ANTICIPATED,OCMS_LEGACY,0,1,
L-N04000080,2025-05,2023-12-01,ANTICIPATED,2023-12-01,REVISED,OCMS_LEGACY,0,1,
L-N04000081,2025-04,2023-05-01,REVISED,2023-05-01,ANTICIPATED,OCMS_LEGACY,0,1,
L-N04000081,2025-05,2023-05-01,ANTICIPATED,2023-05-01,REVISED,OCMS_LEGACY,0,1,
L-N04000085,2025-04,2024-09-01,REVISED,2024-09-01,ANTICIPATED,OCMS_LEGACY,0,1,
L-N04000085,2025-05,2024-09-01,ANTICIPATED,2024-09-01,REVISED,OCMS_LEGACY,0,1,
L-N04000087,2025-02,2024-07-01,ORIGINAL,2024-07-01,REVISED,OCMS_LEGACY,0,1,
L-N04000087,2025-04,2024-07-01,REVISED,2024-07-01,ANTICIPATED,OCMS_LEGACY,0,1,
L-N04000087,2025-05,2024-07-01,ANTICIPATED,2024-07-01,REVISED,OCMS_LEGACY,0,1,
L-N04000088,2025-04,2024-12-01,REVISED,2024-12-01,ANTICIPATED,OCMS_LEGACY,0,1,
L-N04000088,2025-05,2024-12-01,ANTICIPATED,2024-12-01,REVISED,OCMS_LEGACY,0,1,
L-N04000090,2025-02,2025-03-01,ORIGINAL,2025-03-01,REVISED,OCMS_LEGACY,0,1,
L-N04000090,2025-03,2025-03-01,REVISED,2025-04-01,REVISED,OCMS_LEGACY,1,1,
L-N04000090,2025-04,2025-04-01,REVISED,2025-04-01,ANTICIPATED,OCMS_LEGACY,0,1,
L-N04000090,2025-05,2025-04-01,ANTICIPATED,2025-04-01,REVISED,OCMS_LEGACY,0,1,
L-N04000092,2025-03,2025-03-01,REVISED,2025-05-01,REVISED,OCMS_LEGACY,2,1,
L-N04000092,2025-04,2025-05-01,REVISED,2025-05-01,ANTICIPATED,OCMS_LEGACY,0,1,
L-N04000092,2025-05,2025-05-01,ANTICIPATED,2025-06-01,REVISED,OCMS_LEGACY,1,0,TARGET_SOURCE_TRANSITION
L-N04000092,2025-06,2025-06-01,REVISED,2025-07-01,REVISED,OCMS_LEGACY,1,1,
L-N04000093,2025-02,2025-02-01,REVISED,2025-03-01,REVISED,OCMS_LEGACY,1,1,
L-N04000093,2025-04,2025-03-01,REVISED,2025-03-01,ANTICIPATED,OCMS_LEGACY,0,1,
L-N04000093,2025-05,2025-03-01,ANTICIPATED,2025-03-01,REVISED,OCMS_LEGACY,0,1,
L-N04000094,2025-03,2025-03-01,REVISED,2025-04-01,REVISED,OCMS_LEGACY,1,1,
