canonical_project_id,snapshot_month,sector,state,ministry_department,project_age_months,months_to_target,current_time_slip_months,current_cost_overrun_pct,spend_ratio_pct,physical_progress_pct,financial_physical_gap_pct,progress_delta_1m,progress_delta_3m,progress_delta_6m,spend_delta_1m_cr,spend_delta_3m_cr,spend_delta_6m_cr,progress_velocity_3m,schedule_pressure,stagnation_streak_months,target_revision_count_to_date,cost_revision_count_to_date,data_quality_score,missing_core_fields_count,delay_event_next_3m,delay_event_next_6m,cost_escalation_next_3m,cost_escalation_next_6m,future_coverage_3m,future_coverage_6m,valid_delay_target_3m,valid_delay_target_6m,valid_cost_target_3m,valid_cost_target_6m
P-400005,2025-01,Electricity Generation,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",Ministry of Power,30,4,23,0.0,56.09775947702067,84.0,-27.902240522979334,,,,,,,,4.0,0,0,0,92,0,1,,0,0,1,1,1,0,1,1
P-400005,2025-02,Electricity Generation,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",Ministry of Power,31,4,24,0.0,57.72547104653055,87.0,-29.27452895346945,3.0,,,74.0,,,,3.25,0,1,0,92,0,1,,0,0,1,1,1,0,1,1
P-400005,2025-03,Electricity Generation,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",Ministry of Power,32,3,24,0.0,58.9572527748083,89.0,-30.042747225191697,2.0,,,56.0,,,,3.6666666666666665,0,1,0,92,0,1,,0,0,1,1,1,0,1,1
P-400005,2025-04,Electricity Generation,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",Ministry of Power,33,5,27,0.0,61.26684351532908,91.0,-29.73315648467092,2.0,7.0,,105.0,235.0,,2.3333333333333335,1.8,0,2,0,92,0,,,0,0,1,1,0,0,1,1
P-400005,2025-05,Electricity Generation,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",Ministry of Power,34,4,27,0.0,87.3100086664643,92.0,-4.689991333535701,1.0,5.0,,1183.9900000000002,1344.9900000000002,,1.6666666666666667,2.0,0,2,0,92,0,,,0,0,1,1,0,0,1,1
P-400005,2025-06,Electricity Generation,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",Ministry of Power,35,3,27,0.0,90.00079185968247,93.0,-2.999208140317535,1.0,4.0,,122.32999999999993,1411.3200000000002,,1.3333333333333333,2.3333333333333335,0,2,0,92,0,,,0,0,1,1,0,0,1,1
P-400005,2025-07,Electricity Generation,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",Ministry of Power,36,5,30,0.0,91.24995050876984,93.0,-1.7500494912301576,0.0,2.0,9.0,56.789999999999964,1363.1100000000001,1598.1100000000001,0.6666666666666666,1.4,1,3,0,82,0,,,0,0,1,1,0,0,1,1
P-400005,2025-08,Electricity Generation,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",Ministry of Power,43,4,30,0.0,91.78885501489135,93.0,-1.2111449851086462,0.0,1.0,6.0,24.5,203.6199999999999,1548.6100000000001,0.3333333333333333,1.75,2,3,0,90,0,0,1,0,0,1,1,1,1,1,1
P-400005,2025-09,Electricity Generation,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",Ministry of Power,44,3,30,0.0,92.60996951340222,93.0,-0.39003048659778017,0.0,0.0,4.0,37.32999999999993,118.61999999999989,1529.94,0.0,2.3333333333333335,3,3,0,82,0,1,1,0,0,1,1,1,1,1,1
P-400005,2025-10,Electricity Generation,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",Ministry of Power,45,2,30,0.0,92.61018947442513,93.0,-0.38981052557487317,0.0,0.0,2.0,0.010000000000218279,61.840000000000146,1424.9500000000003,0.0,3.5,4,3,0,90,0,1,1,0,0,1,1,1,1,1,1
