Project Code,Project Name,Agency,State,Snapshot Month,Approval Month,Start Month,Original DoC,Revised DoC,Original Cost (Cr),Revised Cost (Cr),Cumulative Expenditure (Cr),Physical Progress (%),Source URL,Revised Date Changed,Expenditure Delta (Cr),Physical Progress Delta,Exp Decrease Flag,Cost vs Original (%),Spend / Revised Cost (%)
701395,Morna [Gureghar] Irrigation Project,"Department of Water Resources, River Development & GR",Uttar Pradesh,2025-07,2007-04,2007-12,2025-12,,219.9,219.9,0,0,https://ipm.mospi.gov.in/Content/ArchiveReport/flash/2025-26/FlashReport_July_2025.pdf,0,0,0,0,0,0
701395,Morna [Gureghar] Irrigation Project,"Department of Water Resources, River Development & GR",Uttar Pradesh,2025-08,2007-04,2007-12,2025-12,,219.9,219.9,0,0,https://ipm.mospi.gov.in/Content/ArchiveReport/flash/2025-26/FlashReport_August_2025.pdf,0,0,0,0,0,0
701395,Morna [Gureghar] Irrigation Project,"Department of Water Resources, River Development & GR",Uttar Pradesh,2025-09,2007-04,2007-12,2025-12,,219.9,219.9,0,31,https://ipm.mospi.gov.in/Content/ArchiveReport/flash/2025-26/FlashReport_September_2025.pdf,0,0,31,0,0,0
701395,Morna [Gureghar] Irrigation Project,"Department of Water Resources, River Development & GR",Uttar Pradesh,2025-10,2007-04,2007-12,2025-12,,219.9,219.9,115.2,31,https://ipm.mospi.gov.in/Content/ArchiveReport/flash/2025-26/FlashReport_October_2025.pdf,0,115.2,0,0,0,52.38744884038199
701395,Morna [Gureghar] Irrigation Project,"Department of Water Resources, River Development & GR",Uttar Pradesh,2025-11,2007-04,2007-12,2025-12,,219.9,219.9,115.2,31,https://ipm.mospi.gov.in/Home/ViewPdf/24?path=FlashReport_November_2025.pdf,0,0,0,0,0,52.38744884038199
701395,Morna [Gureghar] Irrigation Project,"Department of Water Resources, River Development & GR",Uttar Pradesh,2025-12,2007-04,2007-12,2025-12,,219.9,219.9,115.2,31,https://ipm.mospi.gov.in/Content/PDF/FlashReport_December_2025.pdf,0,0,0,0,0,52.38744884038199
701395,Morna [Gureghar] Irrigation Project,"Department of Water Resources, River Development & GR",Uttar Pradesh,2026-01,2007-04,2007-12,2025-12,,219.9,219.9,115.2,31,https://ipm.mospi.gov.in/Home/ViewPdf/28?path=FlashReport_January_2026.pdf,0,0,0,0,0,52.38744884038199
701395,Morna [Gureghar] Irrigation Project,"Department of Water Resources, River Development & GR",Uttar Pradesh,2026-02,2007-04,2007-12,2025-12,,219.9,219.9,115.2,31,https://ipm.mospi.gov.in/ReportPage/ViewPdf?id=1316&path=Content%5CArchiveReport%5Cflash%5C2025-26%5CFlashReport_February_2026.pdf,0,0,0,0,0,52.38744884038199
701395,Morna [Gureghar] Irrigation Project,"Department of Water Resources, River Development & GR",Uttar Pradesh,2026-03,2007-04,2007-12,2025-12,,219.9,219.9,115.2,31.5,https://ipm.mospi.gov.in/Home/ViewPdf/31?path=FlashReport_March_2026.pdf,0,0,0.5,0,0,52.38744884038199
701408,Madhya Ganga canal Phase-II,Irrigation & Water Resources-UP,Uttar Pradesh,2025-07,2008-04,2008-04,2019-12,2024-12,1060.67,4417.21,4415.24,82,https://ipm.mospi.gov.in/Content/ArchiveReport/flash/2025-26/FlashReport_July_2025.pdf,0,0,0,0,316.45469373132073,99.95540171284588
701408,Madhya Ganga canal Phase-II,Irrigation & Water Resources-UP,Uttar Pradesh,2025-08,2008-04,2008-04,2019-12,2025-12,1060.67,4417.21,4415.24,82,https://ipm.mospi.gov.in/Content/ArchiveReport/flash/2025-26/FlashReport_August_2025.pdf,1,0,0,0,316.45469373132073,99.95540171284588
701408,Madhya Ganga canal Phase-II,Irrigation & Water Resources-UP,Uttar Pradesh,2025-09,2008-04,2008-04,2019-12,2025-12,1060.67,4417.21,4415.24,82,https://ipm.mospi.gov.in/Content/ArchiveReport/flash/2025-26/FlashReport_September_2025.pdf,0,0,0,0,316.45469373132073,99.95540171284588
701408,Madhya Ganga canal Phase-II,Irrigation & Water Resources-UP,Uttar Pradesh,2025-10,2008-04,2008-04,2019-12,2025-12,1060.67,4417.21,4552.44,82,https://ipm.mospi.gov.in/Content/ArchiveReport/flash/2025-26/FlashReport_October_2025.pdf,0,137.19999999999982,0,0,316.45469373132073,103.06143470652289
701408,Madhya Ganga canal Phase-II,Irrigation & Water Resources-UP,Uttar Pradesh,2025-11,2008-04,2008-04,2019-12,2025-12,1060.67,4417.21,4552.44,82,https://ipm.mospi.gov.in/Home/ViewPdf/24?path=FlashReport_November_2025.pdf,0,0,0,0,316.45469373132073,103.06143470652289
701408,Madhya Ganga canal Phase-II,Irrigation & Water Resources-UP,Uttar Pradesh,2025-12,2008-04,2008-04,2019-12,2025-12,1060.67,4417.21,4552.44,82,https://ipm.mospi.gov.in/Content/PDF/FlashReport_December_2025.pdf,0,0,0,0,316.45469373132073,103.06143470652289
701408,Madhya Ganga canal Phase-II,Irrigation & Water Resources-UP,Uttar Pradesh,2026-01,2008-04,2008-04,2019-12,2025-12,1060.67,4417.21,4575.74,82,https://ipm.mospi.gov.in/Home/ViewPdf/28?path=FlashReport_January_2026.pdf,0,23.300000000000182,0,0,316.45469373132073,103.58891698606134
701408,Madhya Ganga canal Phase-II,Irrigation & Water Resources-UP,Uttar Pradesh,2026-02,2008-04,2008-04,2019-12,2025-12,1060.67,4417.21,4575.74,82,https://ipm.mospi.gov.in/ReportPage/ViewPdf?id=1316&path=Content%5CArchiveReport%5Cflash%5C2025-26%5CFlashReport_February_2026.pdf,0,0,0,0,316.45469373132073,103.58891698606134
